deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
1	0.3	0.75	1183.477	1195.957	1196.717	1043	
2	0.35	1	1175.372	1189.445	1194.627	1043	
3	0.5	0.5	1166.929	1180.759	1191.79	1043	
4	0.45	0.5	1166.123	1180.496	1192.468	1043	
5	0.75	0.5	1202.971	1204.064	1201.033	1043	
6	0.4	0.25	1172.102	1186.458	1193.845	1043	
7	0.55	0.25	1183.302	1196.04	1198.346	1043	
8	0.6	0	1192.328	1201.465	1201.753	1043	
9	0.55	0.5	1172.414	1185.531	1192.146	1043	
10	0.15	0.75	1188.884	1199.027	1197.588	1043	
11	0.5	1	1170.94	1185.364	1192.268	1043	
12	0.5	0.75	1174.835	1189.11	1194.899	1043	
13	0.55	0	1187.241	1198.905	1200.172	1043	
14	0.15	0.5	1189.23	1199.221	1197.812	1043	
15	0.4	0.75	1174.865	1189.332	1193.576	1043	
16	0.4	0	1183.352	1195.969	1196.413	1043	
17	0.4	1	1173.81	1188.31	1193.762	1043	
18	0.85	0.5	1201.626	1203.72	1201.443	1043	
19	0.5	0	1172.301	1186.229	1195.695	1043	
20	0.35	0.5	1181.847	1194.805	1195.891	1043	
21	0.8	1	1208.687	1203.625	1202.556	1043	
22	0.05	0.5	1189.681	1199.423	1197.944	1043	
23	0.35	0	1188.116	1198.859	1197.484	1043	
24	0.65	0	1196.119	1203.327	1201.838	1043	
25	0.6	0.75	1176.412	1190.133	1195.893	1043	
26	0.55	0.75	1170.71	1184.528	1193.089	1043	
27	0.8	0.75	1207.116	1204.037	1202.438	1043	
28	0.4	0.5	1176.716	1190.462	1195.18	1043	
29	0.65	0.5	1184.615	1196.633	1199.8	1043	
30	0.45	0	1165.93	1180.094	1191.123	1043	
31	0.6	0.5	1177.495	1189.8	1196.331	1043	
32	0.75	1	1203.867	1204.001	1202.009	1043	
33	0.45	1	1171.673	1186.164	1192.188	1043	
34	0.3	0.25	1187.948	1198.487	1197.003	1043	
35	0.85	1	1208.272	1203.6	1202.52	1043	
36	0.5	0.25	1193.091	1200.563	1201.082	1043	
37	0.6	1	1177.171	1191.076	1195.095	1043	
38	0.3	1	1172.971	1187.558	1192.814	1043	
39	0.25	1	1173.698	1188.074	1194.567	1043	
40	0.1	1	1185.81	1197.201	1197.377	1043	
41	0.95	1	1199.243	1203.572	1202.152	1043	
42	0.7	1	1198.55	1203.642	1201.106	1043	
43	0.2	1	1180.386	1193.726	1196.395	1043	
44	0.15	0.25	1189.118	1199.127	1197.612	1043	
45	0.9	1	1204.243	1203.619	1202.372	1043	
46	0.8	0.5	1207.642	1203.436	1202.219	1043	
47	0.15	1	1186.103	1197.715	1197.056	1043	
48	0.1	0.25	1130.448	1140.737	1143.483	989	
49	0.65	0.25	1189.325	1200.198	1198.08	1043	
50	0.6	0.25	1202.116	1203.935	1202.486	1043	
51	0.3	0.5	1187.925	1198.656	1197.275	1043	
52	0.25	0.75	1185.175	1197.042	1196.981	1043	
53	0.7	0	1204.56	1202.965	1201.406	1043	
54	0.55	1	1174.829	1188.957	1194.091	1043	
55	0.85	0.25	1205.536	1202.257	1202.118	1043	
56	0.75	0.75	1201.334	1203.982	1202.256	1043	
57	0.65	1	1182.014	1195.147	1197.021	1043	
58	0.05	0.75	1189.493	1199.369	1197.808	1043	
59	0.7	0.25	1196.663	1203.066	1202.477	1043	
60	0.9	0.75	1201.953	1203.719	1202.031	1043	
61	0.3	0	1184.749	1196.747	1197.67	1043	
62	0.45	0.25	1172.949	1186.479	1194.587	1043	
63	0.45	0.75	1174.936	1189.095	1194.182	1043	
64	0.25	0	1186.866	1197.964	1197.214	1043	
65	0.25	0.5	1188.834	1198.99	1197.486	1043	
66	0.05	0.25	1189.646	1199.392	1197.826	1043	
67	0.7	0.75	1196.315	1203.037	1200.709	1043	
68	0.9	0.5	1204.271	1203.181	1202.288	1043	
69	0.85	0.75	1210.508	1203.563	1202.677	1043	
70	0.7	0.5	1198.737	1203.537	1201.556	1043	
71	0.2	0	1189.25	1199.227	1197.627	1043	
72	0.8	0.25	1202.551	1203.553	1202.088	1043	
73	0.9	0	1198.384	1203.051	1201.628	1043	
74	0.05	1	1188.384	1198.782	1197.49	1043	
75	0.35	0.25	1186.978	1198.118	1197.674	1043	
76	0.65	0.75	1180.451	1194.243	1198.037	1043	
77	0.75	0	1191.92	1202.303	1200.626	1043	
78	0.75	0.25	1213.188	1201.661	1201.998	1039	
79	0.25	0.25	1189.397	1199.289	1197.758	1043	
80	0.85	0	1146.618	1152.858	1152.638	984	
81	0.95	0	1190.482	1200.985	1198.603	1043	
82	0.35	0.75	1177.576	1191.444	1194.801	1043	
83	0.2	0.5	1188.849	1199.044	1197.958	1043	
84	0.1	0	1189.424	1199.28	1197.711	1043	
85	0.1	0.5	1189.389	1199.299	1197.8	1043	
86	0.2	0.25	1187.564	1197.339	1195.915	1040	
87	0.15	0	1189.405	1199.304	1197.825	1043	
88	0.2	0.75	1188.638	1198.882	1197.158	1043	
89	0.05	0	1117.335	1126.581	1127.54	991	
90	0.95	0.5	1196.947	1196.328	1196.265	1032	
91	0.1	0.75	1188.778	1198.89	1197.373	1043	
92	0.95	0.25	1204.371	1203.536	1202.396	1043	
93	0.95	0.75	1200.682	1197.237	1196.992	1038	
94	0.9	0.25	1149.425	1156.138	1156.473	1016	
95	0.8	0	1191.943	1200.801	1200.81	1043	
