"deletion_rate"	"predictability_weight"	"condition"	"noun"	"Condition"	"HasRC"	"HasSC"	"compatible"	"EmbeddingBias"	"SurprisalReweighted"	"LogRT"	"rt"
"1"	0.05	1	"critical_compatible"	"admission"	"SC_co"	FALSE	TRUE	TRUE	-4.47385855010188	6.4508	6.91220311653475	1168.2
"2"	0.05	1	"critical_compatible"	"announcement"	"SC_co"	FALSE	TRUE	TRUE	-2.29349828960863	6.7850625	6.84859800040961	1003.1875
"3"	0.05	1	"critical_compatible"	"assertion"	"SC_co"	FALSE	TRUE	TRUE	-0.769280360774168	6.72663888888889	6.80347904279586	982.944444444444
"4"	0.05	1	"critical_compatible"	"assessment"	"SC_co"	FALSE	TRUE	TRUE	-3.82079821902807	6.73066666666667	6.84313714365056	962.555555555556
"5"	0.05	1	"critical_compatible"	"assumption"	"SC_co"	FALSE	TRUE	TRUE	-0.576562057256959	5.65565	6.86895508819196	1002
"6"	0.05	1	"critical_compatible"	"assurance"	"SC_co"	FALSE	TRUE	TRUE	-1.07983917416018	8.26813636363636	6.99266394632723	1220
"7"	0.05	1	"critical_compatible"	"belief"	"SC_co"	FALSE	TRUE	TRUE	-0.455950591043695	7.59867857142857	6.86609839648469	997.857142857143
"8"	0.05	1	"critical_compatible"	"complaint"	"SC_co"	FALSE	TRUE	TRUE	-3.95780800629851	6.7779	6.99676616084413	1273.66666666667
"9"	0.05	1	"critical_compatible"	"conclusion"	"SC_co"	FALSE	TRUE	TRUE	-1.7311988703202	5.603	6.85027522051166	1070.77777777778
"10"	0.05	1	"critical_compatible"	"confirmation"	"SC_co"	FALSE	TRUE	TRUE	-3.3360930439149	6.66185	6.9513868195523	1081.8
"11"	0.05	1	"critical_compatible"	"contention"	"SC_co"	FALSE	TRUE	TRUE	-0.650587566141149	8.21722222222222	7.0277529944385	1182.33333333333
"12"	0.05	1	"critical_compatible"	"declaration"	"SC_co"	FALSE	TRUE	TRUE	-3.80214343753486	6.25405	6.85248709319205	976
"13"	0.05	1	"critical_compatible"	"disclosure"	"SC_co"	FALSE	TRUE	TRUE	-3.4852804988727	7.97291176470588	6.98950299585523	1151.70588235294
"14"	0.05	1	"critical_compatible"	"fact"	"SC_co"	FALSE	TRUE	TRUE	-0.372301529788876	7.17733333333333	6.8894798274921	1040.71428571429
"15"	0.05	1	"critical_compatible"	"impression"	"SC_co"	FALSE	TRUE	TRUE	-0.787062301582269	5.94289285714286	7.03927660783474	1203.21428571429
"16"	0.05	1	"critical_compatible"	"intuition"	"SC_co"	FALSE	TRUE	TRUE	-1.36636014621907	6.28516666666667	6.92063299198261	1072
"17"	0.05	1	"critical_compatible"	"message"	"SC_co"	FALSE	TRUE	TRUE	-2.63823425350908	6.665375	7.03574604097804	1239.16666666667
"18"	0.05	1	"critical_compatible"	"news"	"SC_co"	FALSE	TRUE	TRUE	-3.06668200460218	5.62229411764706	6.86686482997552	1059.29411764706
"19"	0.05	1	"critical_compatible"	"notion"	"SC_co"	FALSE	TRUE	TRUE	-1.22565894230935	7.49275	6.85640979630983	1014
"20"	0.05	1	"critical_compatible"	"opinion"	"SC_co"	FALSE	TRUE	TRUE	-1.18763147838701	6.616625	6.86228434843531	1053
"21"	0.05	1	"critical_compatible"	"proof"	"SC_co"	FALSE	TRUE	TRUE	-2.85064690852377	6.18477777777778	6.98163315415679	1191.33333333333
"22"	0.05	1	"critical_compatible"	"realization"	"SC_co"	FALSE	TRUE	TRUE	-0.977268418388717	7.28892307692308	7.04306494588978	1174.84615384615
"23"	0.05	1	"critical_compatible"	"remark"	"SC_co"	FALSE	TRUE	TRUE	-3.27834197946862	5.88765384615385	7.06910835887232	1254.30769230769
"24"	0.05	1	"critical_compatible"	"report"	"SC_co"	FALSE	TRUE	TRUE	-4.52833936893058	5.52092857142857	6.98152068787088	1166.85714285714
"25"	0.05	1	"critical_compatible"	"sense"	"SC_co"	FALSE	TRUE	TRUE	-1.18238456128549	5.02707142857143	6.8850497001209	1033.85714285714
"26"	0.05	1	"critical_compatible"	"statement"	"SC_co"	FALSE	TRUE	TRUE	-2.13490985171733	5.96418181818182	6.91282700997925	1113.81818181818
"27"	0.05	1	"critical_compatible"	"story"	"SC_co"	FALSE	TRUE	TRUE	-4.49253905469054	5.52388888888889	6.76572289560933	909.333333333333
"28"	0.05	1	"critical_compatible"	"suggestion"	"SC_co"	FALSE	TRUE	TRUE	-1.69397575795232	8.63377777777778	6.78880317525163	941.555555555556
"29"	0.05	1	"critical_compatible"	"suspicion"	"SC_co"	FALSE	TRUE	TRUE	-1.44675780959405	6.19646428571429	6.92308175418022	1119.35714285714
"30"	0.05	1	"critical_compatible"	"truth"	"SC_co"	FALSE	TRUE	TRUE	-4.02569212914745	7.91692307692308	6.92104216003136	1082.46153846154
"31"	0.05	1	"critical_incompatible"	"admission"	"SC_in"	FALSE	TRUE	FALSE	-4.47385855010188	4.779	6.66450286908426	860.222222222222
"32"	0.05	1	"critical_incompatible"	"announcement"	"SC_in"	FALSE	TRUE	FALSE	-2.29349828960863	6.46429411764706	6.81865220774866	987.411764705882
"33"	0.05	1	"critical_incompatible"	"assertion"	"SC_in"	FALSE	TRUE	FALSE	-0.769280360774168	7.27709090909091	6.86386748917419	1001.63636363636
"34"	0.05	1	"critical_incompatible"	"assessment"	"SC_in"	FALSE	TRUE	FALSE	-3.82079821902807	6.4628	6.92735200666368	1098.8
"35"	0.05	1	"critical_incompatible"	"assumption"	"SC_in"	FALSE	TRUE	FALSE	-0.576562057256959	6.20605	6.73098399553596	902.8
"36"	0.05	1	"critical_incompatible"	"assurance"	"SC_in"	FALSE	TRUE	FALSE	-1.07983917416018	5.53676923076923	6.93140532891177	1139.23076923077
"37"	0.05	1	"critical_incompatible"	"belief"	"SC_in"	FALSE	TRUE	FALSE	-0.455950591043695	4.85242857142857	6.65643803296648	789.857142857143
"38"	0.05	1	"critical_incompatible"	"complaint"	"SC_in"	FALSE	TRUE	FALSE	-3.95780800629851	6.37285	6.7952529487277	935.9
"39"	0.05	1	"critical_incompatible"	"conclusion"	"SC_in"	FALSE	TRUE	FALSE	-1.7311988703202	4.75004545454545	6.78767057242039	961.909090909091
"40"	0.05	1	"critical_incompatible"	"confirmation"	"SC_in"	FALSE	TRUE	FALSE	-3.3360930439149	5.837125	6.79424036347042	988
"41"	0.05	1	"critical_incompatible"	"contention"	"SC_in"	FALSE	TRUE	FALSE	-0.650587566141149	7.33534210526316	6.88790787198942	1035.21052631579
"42"	0.05	1	"critical_incompatible"	"declaration"	"SC_in"	FALSE	TRUE	FALSE	-3.80214343753486	8.28408333333333	6.86588129842488	1002.5
"43"	0.05	1	"critical_incompatible"	"disclosure"	"SC_in"	FALSE	TRUE	FALSE	-3.4852804988727	7.89846428571429	6.87549551881561	1018.35714285714
"44"	0.05	1	"critical_incompatible"	"fact"	"SC_in"	FALSE	TRUE	FALSE	-0.372301529788876	6.78676923076923	6.91684055351753	1035.07692307692
"45"	0.05	1	"critical_incompatible"	"impression"	"SC_in"	FALSE	TRUE	FALSE	-0.787062301582269	5.718375	6.93138166594197	1134.66666666667
"46"	0.05	1	"critical_incompatible"	"intuition"	"SC_in"	FALSE	TRUE	FALSE	-1.36636014621907	6.02404166666667	6.90954001317984	1036.58333333333
"47"	0.05	1	"critical_incompatible"	"message"	"SC_in"	FALSE	TRUE	FALSE	-2.63823425350908	7.57929166666667	6.75261580217469	881.083333333333
"48"	0.05	1	"critical_incompatible"	"news"	"SC_in"	FALSE	TRUE	FALSE	-3.06668200460218	7.74825	6.76746321063293	905.071428571429
"49"	0.05	1	"critical_incompatible"	"notion"	"SC_in"	FALSE	TRUE	FALSE	-1.22565894230935	5.82475	6.67232633428172	816.25
"50"	0.05	1	"critical_incompatible"	"opinion"	"SC_in"	FALSE	TRUE	FALSE	-1.18763147838701	5.8284	7.07432932318769	1373.7
"51"	0.05	1	"critical_incompatible"	"proof"	"SC_in"	FALSE	TRUE	FALSE	-2.85064690852377	7.24309090909091	6.9376192797802	1147.18181818182
"52"	0.05	1	"critical_incompatible"	"realization"	"SC_in"	FALSE	TRUE	FALSE	-0.977268418388717	6.28071052631579	6.75983671307645	901.368421052632
"53"	0.05	1	"critical_incompatible"	"remark"	"SC_in"	FALSE	TRUE	FALSE	-3.27834197946862	5.8039375	6.87291961644679	1017.25
"54"	0.05	1	"critical_incompatible"	"report"	"SC_in"	FALSE	TRUE	FALSE	-4.52833936893058	7.195	7.01673007948498	1216.23076923077
"55"	0.05	1	"critical_incompatible"	"sense"	"SC_in"	FALSE	TRUE	FALSE	-1.18238456128549	5.51484210526316	6.78058154383365	935.421052631579
"56"	0.05	1	"critical_incompatible"	"statement"	"SC_in"	FALSE	TRUE	FALSE	-2.13490985171733	7.52279166666667	7.08323679246677	1274.16666666667
