workerid	condition	item	rt	correct	word	wordInItem	Region	RegionFine	sentence	noun	Continuation	trial	distractor_condition
0	filler	Practice_2	7350	yes	The	0	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	7829	yes	reporter	1	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	1782	yes	had	2	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	3543	yes	dinner	3	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	2487	yes	yesterday	4	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	1935	yes	with	5	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	1952	yes	the	6	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	3749	no	baseball	7	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	1775	yes	player	8	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	1767	yes	who	9	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	5288	no	Kevin	10	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Practice_2	3336	yes	admired.	11	NA	NA	The reporter had dinner yesterday with the baseball player who Kevin admired.	NA	NA	4	NA
0	filler	Filler_53	1035	yes	The	0	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	3848	yes	manager	1	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1062	yes	who	2	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1391	yes	the	3	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	2279	yes	baker	4	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	2303	yes	loathed	5	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1343	no	spoke	6	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1351	yes	to	7	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	895	yes	the	8	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	1095	yes	new	9	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
0	filler	Filler_53	2175	yes	pastry	10	NA	NA	The manager who the baker loathed spoke to the new pastry chef because he had instituted a new dress code for all employees.	NA	NA	8	NA
