predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0.75	0.55	7271	39726.62	6.251275	
1	0.5	7271	39726.55	6.257463	
0.75	0.15	7271	39727.44	5.635909	
0.75	0.6	7271	39726.3	6.464626	
0	0.65	7271	39724.65	8.527109	
0.75	0.75	7271	39725.34	6.914583	
0.75	0.8	7271	39725	7.202153	
0.5	0.85	7271	39725.65	7.159836	
0	0.75	7271	39725.97	8.718038	
1	0.45	7271	39726.6	6.243002	
1	0.75	7271	39726.2	6.509768	
0.75	0.45	7271	39726.31	6.383842	
1	0.7	7263	39625.44	6.636297	
1	0.6	7271	39726.43	6.345235	
1	0.35	7271	39727.12	5.909098	
0.25	0.2	7271	39727.61	5.53402	
0.5	0.15	7271	39727.55	5.574824	
0.75	0.5	7271	39725.83	6.650207	
1	0.95	7271	39725.46	8.261426	
0.25	0.65	7271	39724.73	7.738259	
1	0.15	7271	39727.35	5.714839	
1	0.8	7271	39726.24	6.460864	
1	0.3	7271	39726.84	6.075421	
1	0.65	7271	39725.71	6.729602	
0.25	0.95	7271	39724.38	8.31578	
0.25	0.45	7271	39726.55	6.232758	
1	0.25	7271	39727.21	5.820709	
0.25	0.1	7271	39727.58	5.557486	
0.75	0.35	7271	39726.73	6.117794	
0.25	0.6	7271	39724.19	7.716706	
0.25	0.85	7271	39724.5	8.200887	
0.75	0.7	7271	39725.12	7.110781	
0.75	0.3	7259	39659.57	5.714085	
0.5	0.35	7271	39726.95	5.96119	
0.75	0.2	7271	39727.23	5.763413	
0.75	0.85	7271	39726.33	6.591852	
1	0.2	7271	39727.19	5.829324	
0.75	0.4	7271	39726.34	6.377189	
0	0.85	7271	39725.14	9.823552	
1	0.55	7271	39726.48	6.285681	
0.25	0.5	7271	39725.91	6.590529	
0.75	0.9	7271	39724.91	7.975698	
0	0.7	7271	39725.14	9.133532	
0.5	0.6	7271	39727.01	6.019494	
0.25	0.3	7271	39727.7	5.472213	
0	0.6	7271	39726.25	7.077772	
0.75	0.25	7271	39727.23	5.77435	
0	0.95	7179	39371.68	13.48989	
0	0.1	7271	39727.53	5.583544	
0.75	0.95	7271	39726.32	7.227973	
1	0.4	7271	39726.66	6.195816	
0	0.8	7271	39725.76	9.179685	
0.25	0.8	7271	39723.86	8.205056	
0.75	0.65	7271	39725.64	6.837416	
0.5	0.3	7271	39727.39	5.677083	
1	0.85	7271	39725.73	6.972084	
0	0.4	7271	39724.95	7.184276	
0.5	0.2	7271	39727.29	5.738534	
0.5	0.75	7271	39724.76	7.228437	
0.5	0.7	7271	39724.43	7.495059	
0.5	0.1	7271	39727.57	5.560285	
1	0.9	7271	39725.82	7.268984	
1	0.1	7271	39727.45	5.648934	
0.25	0.35	7271	39726.94	5.96302	
0	0.9	7271	39723.87	13.47583	
1	0.05	7271	39727.4	5.673982	
0.5	0.65	7271	39725.25	7.056197	
0	0.45	7271	39725.73	6.341791	
0.25	0.7	7271	39725.25	7.280825	
0.5	0.9	7271	39723.98	8.418518	
0.5	0.45	7271	39726.54	6.217909	
0	0.5	7271	39723.89	7.5919	
0.5	0.05	7271	39727.54	5.576175	
0.25	0.9	7271	39727.51	6.098017	
0.5	0.8	7271	39724.53	7.657997	
0.5	0.55	7271	39726.97	6.096407	
0.25	0.75	7271	39722.14	8.557821	
0.25	0.25	7271	39727.67	5.491669	
0.75	0.05	7271	39727.49	5.61459	
0.5	0.5	7271	39726.55	6.249407	
0.25	0.55	7271	39724.03	7.790699	
0.5	0.4	7271	39726.42	6.3025	
0.5	0.25	7271	39727.74	5.452916	
0	0.35	7271	39726.89	6.03098	
0.25	0.4	7271	39726.66	6.128851	
0.25	0.05	7271	39727.6	5.535982	
0.25	0.15	7271	39727.55	5.577323	
0	0.55	7271	39725.42	7.05866	
0	0.2	7271	39726.97	5.943472	
0	0.3	7271	39726.13	6.506101	
0	0.05	7271	39727.51	5.603829	
0.75	0.1	7271	39727.55	5.567468	
0	0.15	7271	39727.51	5.593297	
0	0.25	7271	39725.94	6.584299	
0.5	0.95	7271	39726.12	7.586414	
