LowerCaseToken	Frequency
life	370431
and	14566109
the	29351168
guilt	9927
very	554624
much	493530
before	458536
up	1197277
in	9827928
never	350635
had	1780272
impression	13225
that	7029459
were	1463644
by	2008478
it	5274167
came	236534
to	13790959
would	1235633
into	894191
of	13998712
a	12284245
did	921196
waitress	4043
was	4040684
troubled	9814
she	2058946
leave	99002
can	1166225
see	580301
but	2459859
then	728566
all	1433877
saw	152512
her	1902393
at	2686430
out	1243596
so	1341447
task	38867
there	1492298
for	4648895
made	397029
an	1759768
people	925211
as	3218482
they	2489826
club	51278
he	3929280
this	2589797
his	2444602
put	252311
brought	87889
not	2208117
him	910875
long	322350
home	315500
judge	57031
no	983711
became	104174
could	841028
on	3721372
time	861904
looked	161631
anyone	80200
fact	187524
shocked	11810
after	633372
from	2220280
far	181654
because	702956
than	846061
with	3655687
their	1437630
under	245460
acknowledged	11625
its	731917
is	4927335
will	1062519
left	240066
only	648930
through	509992
great	253227
went	218108
cities	36665
ever	182141
has	1389613
since	264827
early	167542
report	101461
are	2437807
within	158351
ago	165331
us	515338
true	106196
which	913880
be	2462550
believe	159884
while	361919
easy	76739
too	373339
often	184185
sense	126007
impossible	29522
escape	21112
potential	68655
who	1378651
developed	53184
gave	104869
force	91097
set	187886
called	217766
businessman	5817
room	201837
hotel	43116
turtle	3575
chair	44062
next	277240
stack	6917
salesman	4119
took	206743
day	404330
trying	160636
argument	30764
until	224624
mentioned	30857
victim	21898
turned	135114
hard	159580
knew	165419
worked	89145
blamed	6883
pain	51638
caught	50523
stranger	10720
easily	41522
down	500239
got	400897
over	686460
other	822653
heart	102085
word	95159
around	360835
dinner	45720
crack	13857
thought	244620
listened	13691
influence	44733
contained	13872
senator	49696
door	137994
different	224147
administrators	12306
student	103135
demands	19969
go	501670
students	294828
average	69472
statement	42520
president	334706
show	212738
run	134343
difficult	83085
come	359953
protect	42824
going	644293
test	82919
private	84584
citizens	34561
case	201328
message	49498
hurt	40996
book	140682
new	833405
sure	179599
movie	64720
articles	18747
takes	84160
news	172536
apartment	35568
product	40832
seemed	101938
deal	105115
love	182605
design	60660
everything	142024
every	289497
according	122762
class	93595
yard	19503
gardener	2631
local	129461
liked	33194
attention	86882
evidence	90939
quickly	75766
everyone	104330
plan	107574
larger	46796
park	89509
discovered	33922
child	147871
kids	128901
despite	70333
light	130974
story	167492
found	254753
three	355951
children	293063
ignored	13923
ready	71818
start	129893
failed	39203
interesting	53512
scientists	39673
nice	61297
admired	5220
family	258518
church	99333
break	81868
inconvenient	1232
answer	80339
belief	20133
conclusion	20586
journalists	12667
taking	115988
lie	28274
finished	35985
scene	52891
last	419785
author	60048
reputation	16580
fire	79594
husband	74478
performed	22290
wife	102091
married	51408
sister	49962
readers	26277
ridiculous	9826
although	138097
widely	21225
recognized	26101
disappointed	10293
carried	32946
delighted	5106
secretary	49219
age	125750
known	110878
boy	84823
notion	22376
absurd	4885
company	169526
amused	3374
played	66910
sent	61084
loved	43910
correct	33472
goes	85837
appeared	44407
met	71587
wrote	71227
woman	188031
act	89208
soon	92867
body	139641
during	263524
year	417752
entirely	25699
help	240450
offended	3658
invited	18094
malicious	1479
nurse	17920
novels	8606
rarely	19780
captured	14096
taken	110493
followed	56296
decided	67060
daughter	67442
threatened	17262
hated	11241
hear	111886
broke	31132
month	86786
treated	25044
distracted	4785
feared	8750
mother	202022
bought	37561
sold	39831
everybody	69812
concerning	12634
guard	34842
needed	94420
extremely	26251
pleased	13387
spoke	43494
proved	18096
opinion	33807
arrested	19292
kitchen	50127
crowd	35813
police	133213
information	173909
constantly	17176
encouraged	16140
days	199454
talk	175568
defeated	8248
alien	10050
visited	17887
week	185372
frightened	7874
eat	51012
uncle	22856
farmer	9172
rock	52218
morning	152089
kill	44903
security	108853
drove	24548
grandmother	17067
coffee	38102
box	53510
helped	57831
cousin	11602
remark	4191
remove	26530
operation	30011
guide	29683
elevator	8032
realization	4880
tourist	7407
keeper	2108
explained	30488
consulted	3163
stone	37493
patient	42655
confirmed	16420
threw	20282
defender	3554
france	29086
pointing	14507
suggestion	8208
important	190285
assertion	4039
absolutely	50601
intention	9557
truth	55660
witness	17756
surprising	15892
explain	42911
blood	76065
doctor	52496
regularly	15126
stage	51852
school	338879
meeting	67858
music	141532
amazed	5481
cured	2629
rescued	3906
holds	25861
historian	9288
party	121033
appropriate	36484
teachers	97394
officials	87375
taught	32428
carefully	29014
scientist	12201
mathematician	1019
dress	32151
singer	14278
complained	9324
dog	48359
teacher	74789
homework	7132
proof	13760
studied	23137
appointed	10493
complaints	11426
supported	24888
instituted	2171
guest	19947
runner	4459
island	50319
disappointment	6434
won	65145
finish	26731
jungle	6288
driver	30470
beach	41720
diplomat	3187
commander	14220
bar	43350
driving	36935
ran	54692
soldier	15039
whenever	19223
wounded	12335
commanded	3087
officer	45966
hit	90570
captain	23266
fuel	27097
dated	5971
alcohol	22507
reporter	24768
prisoner	6319
confused	12575
travels	6041
philosopher	3544
deserved	4406
surprised	32688
foreman	3504
tenant	2365
criticized	9504
assumption	9415
energy	83468
confident	15133
assurance	3337
apprentice	2239
attorney	44551
harassed	1880
lab	17925
desk	29080
excited	17662
painter	7095
elected	22903
attacked	12253
hired	19518
boss	17528
code	25265
onto	58620
interrupted	6664
lawyer	31304
cheerleader	1225
banquet	1977
sounded	16164
colleague	7556
fix	18739
dean	19050
principal	20340
agent	27807
computer	62620
researchers	44104
colleagues	26981
anthropologist	2222
director	95076
supervised	2453
motivated	8928
audience	40749
administrator	6696
funny	27743
censorship	2460
kid	44768
terrified	6056
nobody	45720
assignment	8270
murdered	8714
bothered	6346
questioned	8890
complaint	8492
contention	3648
safe	46622
patients	71702
untrue	1412
announcement	9382
film	71616
semester	5895
admission	9937
crippled	2054
emergency	27396
phone	91101
suspicion	6921
assignments	5667
concert	14012
backed	11930
sample	33983
speaker	18381
incorrect	3692
declaration	7176
owner	28970
criminal	31199
employees	41791
politician	7213
baseball	35562
doubted	2851
tribe	7632
corrupt	4904
rebels	7004
crew	24329
upset	18111
marathon	4572
vendor	2678
clerk	7080
servant	4255
newspapers	15687
packages	6531
surprise	31631
demonstrators	2853
suspected	12529
neighbor	13492
actor	20916
bother	10595
season	109513
confirmation	6058
phoned	1934
yesterday	33879
stunned	7875
authorized	5042
impressed	9993
implicated	2216
dancing	15429
natives	3462
scolded	961
deceived	993
shoots	4602
intuition	2211
knight	7428
beggar	858
interrogated	827
therapist	6093
assisted	4417
survivor	4845
mansion	5908
processed	4460
markings	1383
cardboard	4713
tv	64333
crazy	29511
garbage	8750
astonished	2467
horrified	2812
robbed	3253
assessment	33457
thief	3834
credible	5014
investor	5683
vindicated	860
jogging	1874
damaged	9436
employee	15652
entrepreneur	3363
customer	15657
producer	14360
pricing	4140
files	13036
manager	42084
headlines	8568
psychiatrist	4308
shepherd	4753
clinic	12991
butler	7305
cigarettes	8149
surgeon	7813
saddened	1191
carpenter	5010
diagnosed	8420
contacted	5826
divorced	7861
launch	15716
player	45484
tackled	1297
theater	28609
sculptor	1861
pharmacist	1234
trickster	594
ate	13494
milk	23893
abducted	1583
spider	3627
analyst	14936
disclosure	5495
welcomed	5315
dragon	5841
thanked	3327
fbi	24315
trusted	6870
reptiles	1130
toilet	7569
apprehended	856
opponent	8194
fans	33856
cook	36419
sued	5667
sponsor	4761
punctually	49
jury	28921
warden	1965
unnoticed	2126
fired	21703
shopkeeper	538
rally	9294
complying	888
pressured	2284
choir	5040
plaintiff	2954
refuted	405
printer	3367
annoyed	3815
organizer	2595
tutor	1763
astronaut	2417
baker	15492
banker	3381
cookies	8555
scared	17897
puzzled	4003
discouraged	3169
roommate	2788
defendant	7911
acquitted	1933
detested	420
engineer	11557
scolding	670
loathed	563
greeted	5734
repaired	2269
baffled	1529
sailor	3163
shelf	7674
sculptures	3599
princess	9094
drunkard	240
insulted	1455
bride	6587
townspeople	981
chills	1086
fisherman	2589
operator	7266
bogus	1505
delivers	4138
startled	6036
booed	748
tank	15077
enraged	1644
environmentalist	935
long-distance	2746
librarian	3875
hilarious	2338
worshipped	581
technician	3524
chatted	1332
comforted	1240
rehearsals	1628
sportsman	619
leak	4579
intern	2374
bribed	459
mistrusted	142
believable	1115
