"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	3.406	0.054	62.906	0
"RC.C"	0.743	0.097	7.668	0
"compatible.C"	-0.937	0.097	-9.675	0
"Item232_Critical_1"	4.301	0.077	56.176	0
"Item232_Critical_10"	2.016	0.077	26.337	0
"Item232_Critical_11"	5.514	0.077	72.01	0
"Item232_Critical_12"	6.954	0.077	90.83	0
"Item232_Critical_13"	4.71	0.077	61.51	0
"Item232_Critical_14"	-0.091	0.077	-1.186	0.235
"Item232_Critical_15"	5.372	0.077	70.156	0
"Item232_Critical_16"	5.585	0.077	72.95	0
"Item232_Critical_17"	0.041	0.077	0.542	0.588
"Item232_Critical_18"	0.338	0.077	4.417	0
"Item232_Critical_19"	4.837	0.077	63.178	0
"Item232_Critical_2"	0.126	0.077	1.648	0.099
"Item232_Critical_20"	3.974	0.077	51.909	0
"Item232_Critical_21"	7.177	0.077	93.736	0
"Item232_Critical_23"	4.96	0.077	64.782	0
"Item232_Critical_24"	4.818	0.077	62.931	0
"Item232_Critical_25"	0.025	0.077	0.327	0.743
"Item232_Critical_26"	0.068	0.077	0.893	0.372
"Item232_Critical_27"	6.932	0.077	90.531	0
"Item232_Critical_28"	4.911	0.077	64.134	0
"Item232_Critical_3"	0.81	0.077	10.576	0
"Item232_Critical_30"	0.091	0.077	1.182	0.237
"Item232_Critical_4"	8.388	0.077	109.556	0
"Item232_Critical_5"	4.029	0.077	52.622	0
"Item232_Critical_6"	2.924	0.077	38.186	0
"Item232_Critical_7"	5.966	0.077	77.92	0
"Item232_Critical_8"	4.49	0.077	58.647	0
"Item232_Critical_9"	0.236	0.077	3.079	0.002
"Item238_Critical_Vadv1"	8.938	0.137	65.258	0
"Item238_Critical_VAdv1"	8.937	0.137	65.249	0
"Item238_Critical_Vadv2"	10.376	0.077	135.516	0
"Item238_Critical_Vadv3"	3.847	0.077	50.251	0
"Item238_Critical_Vadv5"	6.083	0.077	79.453	0
"Item238_Critical_Vadv6"	5.562	0.077	72.644	0
"Item238_Critical_Vadv7"	5.516	0.077	72.044	0
"Item238_Critical_Vadv8"	-0.226	0.077	-2.947	0.003
"Item238_Critical_Vadv9"	5.171	0.077	67.532	0
"Item238_Critical_VN1"	0.47	0.077	6.135	0
"Item238_Critical_VN2"	4.914	0.077	64.182	0
"Item238_Critical_VN3"	6.8	0.077	88.811	0
"Item238_Critical_VN5"	7.284	0.077	95.129	0
"ItemCritical_6"	0.232	0.077	3.029	0.002
"EmbBias.C"	0.114	0.05	2.301	0.021
"SC.C"	-0.992	0.108	-9.16	0
"RC.C:compatible.C"	-0.978	0.194	-5.048	0
"RC.C:Item232_Critical_1"	-0.348	0.137	-2.543	0.011
"RC.C:Item232_Critical_10"	-2.905	0.137	-21.208	0
"RC.C:Item232_Critical_11"	-1.243	0.137	-9.075	0
"RC.C:Item232_Critical_12"	-0.565	0.137	-4.124	0
"RC.C:Item232_Critical_13"	-0.361	0.137	-2.633	0.008
"RC.C:Item232_Critical_14"	-0.372	0.137	-2.714	0.007
"RC.C:Item232_Critical_15"	-0.138	0.137	-1.007	0.314
"RC.C:Item232_Critical_16"	-0.769	0.137	-5.613	0
"RC.C:Item232_Critical_17"	-0.979	0.137	-7.147	0
"RC.C:Item232_Critical_18"	0.562	0.137	4.103	0
"RC.C:Item232_Critical_19"	-0.508	0.137	-3.711	0
"RC.C:Item232_Critical_2"	0.364	0.137	2.66	0.008
"RC.C:Item232_Critical_20"	-1.027	0.137	-7.497	0
"RC.C:Item232_Critical_21"	-0.718	0.137	-5.241	0
"RC.C:Item232_Critical_23"	-0.841	0.137	-6.139	0
"RC.C:Item232_Critical_24"	-0.466	0.137	-3.405	0.001
"RC.C:Item232_Critical_25"	0.402	0.137	2.935	0.003
"RC.C:Item232_Critical_26"	-0.228	0.137	-1.663	0.096
"RC.C:Item232_Critical_27"	-1.458	0.137	-10.645	0
"RC.C:Item232_Critical_28"	-0.377	0.137	-2.756	0.006
"RC.C:Item232_Critical_3"	-1.192	0.137	-8.702	0
"RC.C:Item232_Critical_30"	-0.527	0.137	-3.845	0
"RC.C:Item232_Critical_4"	0.487	0.137	3.554	0
"RC.C:Item232_Critical_5"	-0.394	0.137	-2.88	0.004
"RC.C:Item232_Critical_6"	-0.223	0.137	-1.626	0.104
"RC.C:Item232_Critical_7"	-0.74	0.137	-5.4	0
"RC.C:Item232_Critical_8"	-0.549	0.137	-4.008	0
"RC.C:Item232_Critical_9"	0.337	0.137	2.461	0.014
"RC.C:Item238_Critical_Vadv1"	-0.791	0.194	-4.083	0
"RC.C:Item238_Critical_VAdv1"	-0.361	0.194	-1.866	0.062
"RC.C:Item238_Critical_Vadv2"	0.491	0.137	3.583	0
"RC.C:Item238_Critical_Vadv3"	2.45	0.137	17.889	0
"RC.C:Item238_Critical_Vadv5"	3.079	0.137	22.477	0
"RC.C:Item238_Critical_Vadv6"	-0.235	0.137	-1.712	0.087
"RC.C:Item238_Critical_Vadv7"	0.036	0.137	0.261	0.794
"RC.C:Item238_Critical_Vadv8"	-0.406	0.137	-2.963	0.003
"RC.C:Item238_Critical_Vadv9"	0.804	0.137	5.873	0
"RC.C:Item238_Critical_VN1"	0.471	0.137	3.439	0.001
"RC.C:Item238_Critical_VN2"	-0.689	0.137	-5.031	0
"RC.C:Item238_Critical_VN3"	4.018	0.137	29.338	0
"RC.C:Item238_Critical_VN5"	-0.713	0.137	-5.202	0
"RC.C:ItemCritical_6"	-0.507	0.137	-3.704	0
"compatible.C:Item232_Critical_1"	0.52	0.137	3.799	0
"compatible.C:Item232_Critical_10"	-0.837	0.137	-6.109	0
"compatible.C:Item232_Critical_11"	-1.022	0.137	-7.461	0
"compatible.C:Item232_Critical_12"	0.44	0.137	3.21	0.001
"compatible.C:Item232_Critical_13"	-1.811	0.137	-13.225	0
"compatible.C:Item232_Critical_14"	-0.644	0.137	-4.705	0
"compatible.C:Item232_Critical_15"	0.279	0.137	2.034	0.042
"compatible.C:Item232_Critical_16"	1.402	0.137	10.233	0
"compatible.C:Item232_Critical_17"	0.729	0.137	5.32	0
"compatible.C:Item232_Critical_18"	0.78	0.137	5.696	0
"compatible.C:Item232_Critical_19"	0.864	0.137	6.312	0
"compatible.C:Item232_Critical_2"	1.615	0.137	11.79	0
"compatible.C:Item232_Critical_20"	1.021	0.137	7.453	0
"compatible.C:Item232_Critical_21"	0.708	0.137	5.172	0
"compatible.C:Item232_Critical_23"	0.287	0.137	2.097	0.036
"compatible.C:Item232_Critical_24"	2.195	0.137	16.028	0
"compatible.C:Item232_Critical_25"	1.392	0.137	10.164	0
"compatible.C:Item232_Critical_26"	0.439	0.137	3.207	0.001
"compatible.C:Item232_Critical_27"	0.556	0.137	4.061	0
"compatible.C:Item232_Critical_28"	1.77	0.137	12.925	0
"compatible.C:Item232_Critical_3"	4.62	0.137	33.73	0
"compatible.C:Item232_Critical_30"	0.369	0.137	2.696	0.007
"compatible.C:Item232_Critical_4"	1.794	0.137	13.102	0
"compatible.C:Item232_Critical_5"	1.733	0.137	12.649	0
"compatible.C:Item232_Critical_6"	1.651	0.137	12.057	0
"compatible.C:Item232_Critical_7"	2.046	0.137	14.937	0
"compatible.C:Item232_Critical_8"	0.879	0.137	6.42	0
"compatible.C:Item232_Critical_9"	0.71	0.137	5.182	0
"compatible.C:Item238_Critical_Vadv1"	1.305	0.335	3.89	0
"compatible.C:Item238_Critical_VAdv1"	1.078	0.335	3.214	0.001
"compatible.C:Item238_Critical_Vadv2"	1.711	0.137	12.489	0
"compatible.C:Item238_Critical_Vadv3"	3.544	0.137	25.873	0
