"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.264	0.059	223.697	0
"RC.C"	1.234	0.106	11.629	0
"compatible.C"	-0.192	0.106	-1.806	0.071
"ItemMixed_11"	-5.291	0.084	-63.097	0
"ItemMixed_12"	-5.469	0.084	-65.214	0
"ItemMixed_13"	-5.818	0.084	-69.382	0
"ItemMixed_14"	-7.751	0.084	-92.431	0
"ItemMixed_15"	-0.982	0.084	-11.714	0
"ItemMixed_16"	-3.282	0.084	-39.14	0
"ItemMixed_17"	-10.088	0.084	-120.301	0
"ItemMixed_18"	-9.779	0.084	-116.612	0
"ItemMixed_19"	-2.483	0.084	-29.605	0
"ItemMixed_2"	-5.27	0.084	-62.84	0
"ItemMixed_21"	-7.176	0.084	-85.568	0
"ItemMixed_22"	0.691	0.084	8.238	0
"ItemMixed_23"	-5.241	0.084	-62.493	0
"ItemMixed_24"	-3.191	0.084	-38.058	0
"ItemMixed_25"	-6.009	0.084	-71.657	0
"ItemMixed_26"	-4.913	0.084	-58.582	0
"ItemMixed_27"	-6.534	0.084	-77.918	0
"ItemMixed_28"	-5.349	0.084	-63.791	0
"ItemMixed_29"	-10.05	0.084	-119.841	0
"ItemMixed_3"	-9.356	0.084	-111.57	0
"ItemMixed_30"	-5.415	0.084	-64.577	0
"ItemMixed_31"	1.532	0.084	18.268	0
"ItemMixed_32"	-6.435	0.084	-76.734	0
"ItemMixed_33"	-6.687	0.084	-79.747	0
"ItemMixed_34"	-9.65	0.084	-115.077	0
"ItemMixed_35"	0.656	0.084	7.82	0
"ItemMixed_36"	-2.132	0.084	-25.43	0
"ItemMixed_37"	-4.996	0.084	-59.58	0
"ItemMixed_38"	-1.851	0.084	-22.07	0
"ItemMixed_39"	-9.638	0.084	-114.93	0
"ItemMixed_4"	-9.703	0.084	-115.702	0
"ItemMixed_40"	-6.512	0.084	-77.651	0
"ItemMixed_41"	-5.308	0.084	-63.293	0
"ItemMixed_42"	-2.507	0.084	-29.893	0
"ItemMixed_43"	-6.751	0.084	-80.5	0
"ItemMixed_5"	-2.409	0.084	-28.73	0
"ItemMixed_6"	-0.102	0.084	-1.219	0.223
"ItemMixed_7"	-9.941	0.084	-118.545	0
"ItemMixed_8"	-6.865	0.084	-81.866	0
"ItemMixed_9"	-9.988	0.084	-119.108	0
"Item232_Critical_0"	-9.791	0.084	-116.756	0
"Item232_Critical_1"	-5.515	0.084	-65.77	0
