"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	12.153	0.059	205.031	0
"RC.C"	-0.522	0.106	-4.921	0
"compatible.C"	0.424	0.106	3.999	0
"Item232_Critical_29"	-0.038	0.084	-0.454	0.65
"Item232_Critical_31"	-0.049	0.084	-0.584	0.559
"ItemCritical_0"	-8.93	0.084	-106.532	0
"ItemCritical_1"	-1.658	0.084	-19.779	0
"ItemCritical_10"	-8.911	0.084	-106.298	0
"ItemCritical_11"	-8.933	0.084	-106.56	0
"ItemCritical_12"	-8.877	0.084	-105.89	0
"ItemCritical_13"	-8.272	0.084	-98.675	0
"ItemCritical_14"	-8.299	0.084	-99.001	0
"ItemCritical_15"	-8.672	0.084	-103.448	0
"ItemCritical_16"	-8.318	0.084	-99.232	0
"ItemCritical_17"	-8.616	0.084	-102.781	0
"ItemCritical_18"	1.012	0.084	12.073	0
"ItemCritical_19"	-8.818	0.084	-105.188	0
"ItemCritical_2"	0.828	0.084	9.879	0
"ItemCritical_20"	-4.118	0.084	-49.123	0
"ItemCritical_21"	-9.091	0.084	-108.45	0
"ItemCritical_22"	-4.453	0.084	-53.125	0
"ItemCritical_23"	-2.028	0.084	-24.192	0
"ItemCritical_24"	-8.912	0.084	-106.309	0
"ItemCritical_25"	-8.575	0.084	-102.294	0
"ItemCritical_26"	-0.489	0.084	-5.829	0
"ItemCritical_27"	-5.84	0.084	-69.663	0
"ItemCritical_28"	1.649	0.084	19.676	0
"ItemCritical_29"	1.11	0.084	13.245	0
"ItemCritical_3"	-9.126	0.084	-108.863	0
"ItemCritical_30"	-8.755	0.084	-104.44	0
"ItemCritical_31"	-3.873	0.084	-46.205	0
"ItemCritical_32"	-3.129	0.084	-37.321	0
"ItemCritical_33"	-0.085	0.084	-1.014	0.311
"ItemCritical_34"	-1.528	0.084	-18.23	0
"ItemCritical_35"	0.094	0.084	1.125	0.261
"ItemCritical_36"	0.085	0.084	1.017	0.309
"ItemCritical_4"	-8.892	0.084	-106.071	0
"ItemCritical_5"	-4.702	0.084	-56.094	0
"ItemCritical_7"	-8.843	0.084	-105.485	0
"ItemCritical_8"	-8.818	0.084	-105.189	0
"ItemCritical_9"	-8.587	0.084	-102.442	0
"ItemMixed_1"	1.105	0.084	13.186	0
"ItemMixed_11"	-4.207	0.084	-50.185	0
"ItemMixed_12"	-4.418	0.084	-52.703	0
"ItemMixed_13"	-4.747	0.084	-56.631	0
"ItemMixed_14"	-6.634	0.084	-79.14	0
"ItemMixed_15"	0.091	0.084	1.089	0.276
"ItemMixed_16"	-2.199	0.084	-26.226	0
"ItemMixed_17"	-9.008	0.084	-107.454	0
"ItemMixed_18"	-8.709	0.084	-103.891	0
"ItemMixed_19"	-1.398	0.084	-16.674	0
"ItemMixed_2"	-4.178	0.084	-49.84	0
"ItemMixed_21"	-6.071	0.084	-72.417	0
"ItemMixed_22"	1.734	0.084	20.68	0
"ItemMixed_23"	-4.158	0.084	-49.603	0
"ItemMixed_24"	-2.135	0.084	-25.467	0
"ItemMixed_25"	-5.278	0.084	-62.968	0
"ItemMixed_26"	-3.839	0.084	-45.792	0
"ItemMixed_27"	-5.433	0.084	-64.806	0
"ItemMixed_28"	-4.248	0.084	-50.672	0
"ItemMixed_29"	-8.978	0.084	-107.1	0
"ItemMixed_3"	-8.265	0.084	-98.595	0
"ItemMixed_30"	-4.312	0.084	-51.44	0
"ItemMixed_31"	2.625	0.084	31.317	0
"ItemMixed_32"	-5.33	0.084	-63.586	0
"ItemMixed_33"	-5.701	0.084	-68.01	0
"ItemMixed_34"	-8.768	0.084	-104.593	0
"ItemMixed_35"	1.747	0.084	20.842	0
"ItemMixed_36"	-1.028	0.084	-12.267	0
"ItemMixed_37"	-3.919	0.084	-46.749	0
"ItemMixed_38"	-0.762	0.084	-9.093	0
"ItemMixed_39"	-8.545	0.084	-101.934	0
"ItemMixed_4"	-8.629	0.084	-102.936	0
"ItemMixed_40"	-5.413	0.084	-64.574	0
"ItemMixed_41"	-4.227	0.084	-50.424	0
"ItemMixed_42"	-1.422	0.084	-16.969	0
"ItemMixed_43"	-5.883	0.084	-70.176	0
"ItemMixed_5"	-1.334	0.084	-15.91	0
"ItemMixed_6"	1.005	0.084	11.985	0
"ItemMixed_7"	-8.871	0.084	-105.827	0
"ItemMixed_8"	-5.762	0.084	-68.735	0
"ItemMixed_9"	-8.91	0.084	-106.288	0
"Item232_Critical_0"	-8.763	0.084	-104.535	0
"Item232_Critical_1"	-4.473	0.084	-53.36	0
"Item232_Critical_10"	-6.862	0.084	-81.852	0
"Item232_Critical_11"	-3.344	0.084	-39.896	0
"Item232_Critical_12"	-1.895	0.084	-22.606	0
"Item232_Critical_13"	-4.139	0.084	-49.373	0
"Item232_Critical_14"	-8.994	0.084	-107.291	0
"Item232_Critical_15"	-3.528	0.084	-42.083	0
"Item232_Critical_16"	-3.21	0.084	-38.298	0
"Item232_Critical_17"	-8.822	0.084	-105.235	0
"Item232_Critical_18"	-8.494	0.084	-101.326	0
"Item232_Critical_19"	-3.902	0.084	-46.545	0
"Item232_Critical_2"	-8.702	0.084	-103.811	0
"Item232_Critical_20"	-4.754	0.084	-56.713	0
"Item232_Critical_21"	-1.635	0.084	-19.502	0
"Item232_Critical_23"	-3.828	0.084	-45.67	0
"Item232_Critical_24"	-3.963	0.084	-47.277	0
"Item232_Critical_25"	-8.906	0.084	-106.238	0
"Item232_Critical_26"	-8.845	0.084	-105.515	0
"Item232_Critical_27"	-1.95	0.084	-23.26	0
"Item232_Critical_28"	-3.881	0.084	-46.291	0
"Item232_Critical_3"	-8.035	0.084	-95.855	0
"Item232_Critical_30"	-8.769	0.084	-104.606	0
"Item232_Critical_4"	-0.393	0.084	-4.694	0
"Item232_Critical_5"	-4.734	0.084	-56.471	0
"Item232_Critical_6"	-5.944	0.084	-70.905	0
"Item232_Critical_7"	-2.8	0.084	-33.404	0
"Item232_Critical_8"	-4.278	0.084	-51.038	0
"Item232_Critical_9"	-8.658	0.084	-103.28	0
"Item238_Critical_Vadv1"	-0.002	0.15	-0.01	0.992
"Item238_Critical_VAdv1"	0.012	0.15	0.078	0.938
"Item238_Critical_Vadv2"	1.449	0.084	17.281	0
"Item238_Critical_Vadv3"	-5.315	0.084	-63.408	0
"Item238_Critical_Vadv5"	-3.832	0.084	-45.714	0
"Item238_Critical_Vadv6"	-3.273	0.084	-39.039	0
"Item238_Critical_Vadv7"	-3.62	0.084	-43.189	0
"Item238_Critical_Vadv8"	-9.17	0.084	-109.389	0
"Item238_Critical_Vadv9"	-4.275	0.084	-50.994	0
"Item238_Critical_VN1"	-8.759	0.084	-104.491	0
"Item238_Critical_VN2"	-3.871	0.084	-46.172	0
"Item238_Critical_VN3"	-3.127	0.084	-37.306	0
"Item238_Critical_VN5"	-1.525	0.084	-18.196	0
"ItemCritical_6"	-8.649	0.084	-103.173	0
"EmbBias.C"	0.051	0.054	0.941	0.347
