"Estimate"	"Std. Error"	"t value"	"Pr(>|t|)"
"(Intercept)"	13.248	0.045	295.746	0
"RC.C"	-0.074	0.08	-0.919	0.358
"compatible.C"	-0.35	0.08	-4.368	0
"Item232_Critical_29"	-1.612	0.063	-25.444	0
"Item232_Critical_31"	-0.682	0.063	-10.758	0
"ItemCritical_0"	-7.935	0.063	-125.255	0
"ItemCritical_1"	-1.519	0.063	-23.97	0
"ItemCritical_10"	-7.146	0.063	-112.794	0
"ItemCritical_11"	-7.558	0.063	-119.31	0
"ItemCritical_12"	-7.126	0.063	-112.478	0
"ItemCritical_13"	-6.818	0.063	-107.615	0
"ItemCritical_14"	-6.931	0.063	-109.399	0
"ItemCritical_15"	-7.047	0.063	-111.241	0
"ItemCritical_16"	-7.717	0.063	-121.806	0
"ItemCritical_17"	-7.178	0.063	-113.3	0
"ItemCritical_18"	0.629	0.063	9.93	0
"ItemCritical_19"	-7.364	0.063	-116.245	0
"ItemCritical_2"	0.523	0.063	8.261	0
"ItemCritical_20"	-3.082	0.063	-48.654	0
"ItemCritical_21"	-7.558	0.063	-119.306	0
"ItemCritical_22"	-2.969	0.063	-46.871	0
"ItemCritical_23"	-1.257	0.063	-19.835	0
"ItemCritical_24"	-8.114	0.063	-128.083	0
"ItemCritical_25"	-7.624	0.063	-120.344	0
"ItemCritical_26"	-0.401	0.063	-6.327	0
"ItemCritical_27"	-6.348	0.063	-100.203	0
"ItemCritical_28"	3.43	0.063	54.143	0
"ItemCritical_29"	1.119	0.063	17.661	0
"ItemCritical_3"	-7.482	0.063	-118.11	0
"ItemCritical_30"	-8.387	0.063	-132.393	0
"ItemCritical_31"	-3.077	0.063	-48.564	0
"ItemCritical_32"	-2.403	0.063	-37.924	0
"ItemCritical_33"	-0.76	0.063	-12.004	0
"ItemCritical_34"	-0.691	0.063	-10.902	0
"ItemCritical_35"	-0.169	0.063	-2.662	0.008
"ItemCritical_36"	0.126	0.063	1.986	0.047
"ItemCritical_4"	-7.153	0.063	-112.917	0
"ItemCritical_5"	-3.304	0.063	-52.156	0
"ItemCritical_7"	-7.245	0.063	-114.368	0
"ItemCritical_8"	-7.13	0.063	-112.548	0
"ItemCritical_9"	-7.08	0.063	-111.75	0
"ItemMixed_1"	1.25	0.063	19.735	0
"ItemMixed_11"	-4.688	0.063	-74.001	0
"ItemMixed_12"	-3.344	0.063	-52.78	0
"ItemMixed_13"	-4.171	0.063	-65.843	0
"ItemMixed_14"	-7.763	0.063	-122.541	0
"ItemMixed_15"	0.412	0.063	6.508	0
"ItemMixed_16"	-1.511	0.063	-23.854	0
"ItemMixed_17"	-8.392	0.063	-132.469	0
"ItemMixed_18"	-7.209	0.063	-113.797	0
"ItemMixed_19"	-1.269	0.063	-20.025	0
"ItemMixed_2"	-3.049	0.063	-48.136	0
"ItemMixed_21"	-4.894	0.063	-77.253	0
"ItemMixed_22"	1.557	0.063	24.571	0
"ItemMixed_23"	-3.187	0.063	-50.315	0
"ItemMixed_24"	-1.466	0.063	-23.136	0
"ItemMixed_25"	-3.567	0.063	-56.311	0
"ItemMixed_26"	-2.485	0.063	-39.225	0
"ItemMixed_27"	-5.747	0.063	-90.721	0
"ItemMixed_28"	-2.817	0.063	-44.461	0
"ItemMixed_29"	-7.978	0.063	-125.934	0
"ItemMixed_3"	-6.861	0.063	-108.305	0
"ItemMixed_30"	-2.951	0.063	-46.583	0
"ItemMixed_31"	3.266	0.063	51.553	0
"ItemMixed_32"	-5.828	0.063	-91.995	0
"ItemMixed_33"	-5.473	0.063	-86.39	0
"ItemMixed_34"	-8.365	0.063	-132.042	0
"ItemMixed_35"	1.529	0.063	24.139	0
"ItemMixed_36"	-0.673	0.063	-10.619	0
"ItemMixed_37"	-2.843	0.063	-44.877	0
"ItemMixed_38"	-0.217	0.063	-3.428	0.001
"ItemMixed_39"	-7.773	0.063	-122.698	0
"ItemMixed_4"	-7.248	0.063	-114.409	0
"ItemMixed_40"	-4.934	0.063	-77.888	0
"ItemMixed_41"	-2.627	0.063	-41.475	0
"ItemMixed_42"	-0.247	0.063	-3.903	0
"ItemMixed_43"	-5.481	0.063	-86.524	0
"ItemMixed_5"	-0.646	0.063	-10.194	0
"ItemMixed_6"	0.608	0.063	9.591	0
"ItemMixed_7"	-7.164	0.063	-113.076	0
"ItemMixed_8"	-5.701	0.063	-89.982	0
"ItemMixed_9"	-7.735	0.063	-122.092	0
"Item232_Critical_0"	-8.425	0.063	-132.995	0
"Item232_Critical_1"	-4.294	0.063	-67.776	0
"Item232_Critical_10"	-6.928	0.063	-109.362	0
"Item232_Critical_11"	-3.26	0.063	-51.46	0
"Item232_Critical_12"	-2.055	0.063	-32.433	0
"Item232_Critical_13"	-4.832	0.063	-76.273	0
"Item232_Critical_14"	-7.868	0.063	-124.195	0
"Item232_Critical_15"	-3.835	0.063	-60.532	0
"Item232_Critical_16"	-2.791	0.063	-44.057	0
"Item232_Critical_17"	-8.242	0.063	-130.092	0
"Item232_Critical_18"	-8.228	0.063	-129.885	0
"Item232_Critical_19"	-3.582	0.063	-56.535	0
"Item232_Critical_2"	-8.579	0.063	-135.423	0
"Item232_Critical_20"	-5.091	0.063	-80.364	0
"Item232_Critical_21"	-1.838	0.063	-29.006	0
"Item232_Critical_23"	-4.607	0.063	-72.715	0
"Item232_Critical_24"	-4.052	0.063	-63.954	0
"Item232_Critical_25"	-8.123	0.063	-128.216	0
"Item232_Critical_26"	-7.972	0.063	-125.839	0
"Item232_Critical_27"	-2.079	0.063	-32.822	0
"Item232_Critical_28"	-4.131	0.063	-65.209	0
"Item232_Critical_3"	-7.881	0.063	-124.402	0
"Item232_Critical_30"	-8.279	0.063	-130.683	0
"Item232_Critical_4"	-0.525	0.063	-8.281	0
"Item232_Critical_5"	-4.746	0.063	-74.921	0
"Item232_Critical_6"	-6.001	0.063	-94.728	0
"Item232_Critical_7"	-3.458	0.063	-54.582	0
"Item232_Critical_8"	-4.004	0.063	-63.211	0
"Item232_Critical_9"	-8.382	0.063	-132.303	0
"Item238_Critical_Vadv1"	0.001	0.113	0.01	0.992
"Item238_Critical_VAdv1"	0.001	0.113	0.01	0.992
"Item238_Critical_Vadv2"	1.939	0.063	30.601	0
"Item238_Critical_Vadv3"	-4.469	0.063	-70.548	0
"Item238_Critical_Vadv5"	-2.863	0.063	-45.193	0
"Item238_Critical_Vadv6"	-4.033	0.063	-63.656	0
"Item238_Critical_Vadv7"	-2.967	0.063	-46.826	0
"Item238_Critical_Vadv8"	-8.238	0.063	-130.038	0
"Item238_Critical_Vadv9"	-3.347	0.063	-52.834	0
"Item238_Critical_VN1"	-8.399	0.063	-132.581	0
"Item238_Critical_VN2"	-3.217	0.063	-50.777	0
"Item238_Critical_VN3"	-2.421	0.063	-38.219	0
"Item238_Critical_VN5"	-0.756	0.063	-11.939	0
"ItemCritical_6"	-7.306	0.063	-115.325	0
"EmbBias.C"	0.109	0.041	2.653	0.008
"SC.C"	0.82	0.09	9.152	0
"RC.C:compatible.C"	-0.038	0.16	-0.234	0.815
"RC.C:Item232_Critical_29"	0.361	0.113	3.189	0.001
"RC.C:Item232_Critical_31"	-0.6	0.113	-5.292	0
"RC.C:ItemCritical_0"	-0.666	0.113	-5.878	0
"RC.C:ItemCritical_1"	-0.62	0.113	-5.468	0
"RC.C:ItemCritical_10"	0.108	0.113	0.954	0.34
"RC.C:ItemCritical_11"	0.748	0.113	6.598	0
"RC.C:ItemCritical_12"	-0.198	0.113	-1.751	0.08
"RC.C:ItemCritical_13"	0.274	0.113	2.422	0.015
"RC.C:ItemCritical_14"	-0.533	0.113	-4.703	0
"RC.C:ItemCritical_15"	-0.12	0.113	-1.06	0.289
"RC.C:ItemCritical_16"	-0.143	0.113	-1.259	0.208
"RC.C:ItemCritical_17"	-1.581	0.113	-13.949	0
"RC.C:ItemCritical_18"	-0.723	0.113	-6.377	0
"RC.C:ItemCritical_19"	0.834	0.113	7.355	0
"RC.C:ItemCritical_2"	-0.025	0.113	-0.221	0.825
"RC.C:ItemCritical_20"	-0.917	0.113	-8.095	0
"RC.C:ItemCritical_21"	-0.338	0.113	-2.98	0.003
"RC.C:ItemCritical_22"	-0.308	0.113	-2.721	0.007
"RC.C:ItemCritical_23"	0.144	0.113	1.273	0.203
"RC.C:ItemCritical_24"	-0.52	0.113	-4.587	0
"RC.C:ItemCritical_25"	-0.511	0.113	-4.511	0
"RC.C:ItemCritical_26"	-0.058	0.113	-0.515	0.606
"RC.C:ItemCritical_27"	-0.249	0.113	-2.194	0.028
"RC.C:ItemCritical_28"	0.7	0.113	6.179	0
"RC.C:ItemCritical_29"	-0.87	0.113	-7.675	0
"RC.C:ItemCritical_3"	-0.073	0.113	-0.649	0.517
"RC.C:ItemCritical_30"	-0.287	0.113	-2.528	0.011
"RC.C:ItemCritical_31"	-1.244	0.113	-10.975	0
"RC.C:ItemCritical_32"	-0.568	0.113	-5.013	0
"RC.C:ItemCritical_33"	0.093	0.113	0.816	0.414
"RC.C:ItemCritical_34"	-0.148	0.113	-1.302	0.193
"RC.C:ItemCritical_35"	-0.453	0.113	-3.995	0
"RC.C:ItemCritical_36"	0.109	0.113	0.957	0.338
"RC.C:ItemCritical_4"	-0.543	0.113	-4.791	0
"RC.C:ItemCritical_5"	-0.513	0.113	-4.529	0
"RC.C:ItemCritical_7"	-0.511	0.113	-4.512	0
"RC.C:ItemCritical_8"	-0.19	0.113	-1.677	0.094
"RC.C:ItemCritical_9"	-0.281	0.113	-2.482	0.013
"RC.C:ItemMixed_1"	-0.07	0.113	-0.62	0.535
"RC.C:ItemMixed_11"	0.314	0.113	2.77	0.006
"RC.C:ItemMixed_12"	-0.422	0.113	-3.721	0
"RC.C:ItemMixed_13"	-0.925	0.113	-8.158	0
"RC.C:ItemMixed_14"	0.22	0.113	1.944	0.052
"RC.C:ItemMixed_15"	0.189	0.113	1.663	0.096
"RC.C:ItemMixed_16"	-0.894	0.113	-7.893	0
"RC.C:ItemMixed_17"	-0.678	0.113	-5.979	0
"RC.C:ItemMixed_18"	0.116	0.113	1.026	0.305
"RC.C:ItemMixed_19"	-1.641	0.113	-14.476	0
"RC.C:ItemMixed_2"	-0.043	0.113	-0.377	0.707
"RC.C:ItemMixed_21"	0.174	0.113	1.536	0.124
"RC.C:ItemMixed_22"	-0.431	0.113	-3.802	0
"RC.C:ItemMixed_23"	-0.573	0.113	-5.058	0
"RC.C:ItemMixed_24"	-0.218	0.113	-1.92	0.055
"RC.C:ItemMixed_25"	0.218	0.113	1.923	0.054
"RC.C:ItemMixed_26"	-0.36	0.113	-3.177	0.001
"RC.C:ItemMixed_27"	-0.235	0.113	-2.073	0.038
"RC.C:ItemMixed_28"	0.062	0.113	0.548	0.584
"RC.C:ItemMixed_29"	-0.137	0.113	-1.208	0.227
"RC.C:ItemMixed_3"	0.375	0.113	3.313	0.001
"RC.C:ItemMixed_30"	0.516	0.113	4.554	0
"RC.C:ItemMixed_31"	-0.569	0.113	-5.019	0
"RC.C:ItemMixed_32"	-0.545	0.113	-4.807	0
"RC.C:ItemMixed_33"	0.182	0.113	1.608	0.108
"RC.C:ItemMixed_34"	-0.954	0.113	-8.417	0
"RC.C:ItemMixed_35"	-0.941	0.113	-8.303	0
"RC.C:ItemMixed_36"	-0.053	0.113	-0.471	0.637
"RC.C:ItemMixed_37"	-1.06	0.113	-9.357	0
"RC.C:ItemMixed_38"	-0.421	0.113	-3.712	0
"RC.C:ItemMixed_39"	-0.519	0.113	-4.582	0
"RC.C:ItemMixed_4"	-0.245	0.113	-2.161	0.031
